SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
2003-04,Cincinnati,CUSA,22,3,286,,0.396,0.348,0.007,0.341,,,,10.7,9.7,,2.1,13,31.5,-0.6,0.7,0.1,0.01,,,,Robert Whaley,robert-whaley-1
Career,Cincinnati,,22,3,286,,0.396,0.348,0.007,0.341,,,,10.7,9.7,,2.1,13,31.5,-0.6,0.7,0.1,0.01,,,,Robert Whaley,robert-whaley-1
2016-17,Texas A&M,SEC,31,17,801,27.4,0.57,0.562,0.065,0.362,352,13.6,21.2,17.6,12,1.6,10.6,14.3,23.7,2,1.6,3.6,0.181,2.6,7.2,9.8,Robert Williams,robert-williams-3
2017-18,Texas A&M,SEC,30,23,769,25.5,0.614,0.632,0.055,0.318,296,10.2,26.8,18.9,10.8,1.8,10.4,17,19,1.5,2,3.5,0.184,2.5,9.4,11.9,Robert Williams,robert-williams-3
Career,Texas A&M,,61,40,1570,26.5,0.59,0.593,0.06,0.343,647,11.9,24,18.2,11.4,1.7,10.5,15.5,21.4,3.5,3.6,7.2,0.182,2.6,8.3,10.9,Robert Williams,robert-williams-3
2006-07,Stanford,Pac-10,31,31,743,,0.495,0.48,0.005,0.385,,,,13.3,8,,7,16.3,19.3,0.3,1.9,2.3,0.122,,,,Robin Lopez,robin-lopez-1
2007-08,Stanford,Pac-10,36,30,883,,0.565,0.536,0.004,0.504,,,,13.3,5.4,,6.8,16.2,22.7,1.8,4.1,5.9,0.269,,,,Robin Lopez,robin-lopez-1
Career,Stanford,,67,61,1626,,0.535,0.512,0.004,0.452,,,,13.3,6.6,,6.9,16.3,21.1,2.2,6,8.2,0.201,,,,Robin Lopez,robin-lopez-1
1985-86,DePaul,Ind,31,23,1063,,0.528,,,0.356,,,,,,,,16.9,,,,,,,,,Rod Strickland,rod-strickland-1
1986-87,DePaul,Ind,30,27,980,,0.603,0.594,0.046,0.542,,,,6.6,36.8,,0.4,17.5,24.8,,,,,,,,Rod Strickland,rod-strickland-1
1987-88,DePaul,Ind,26,,837,,0.57,0.559,0.138,0.349,,,,,,,,15.1,,,,,,,,,Rod Strickland,rod-strickland-1
Career,DePaul,,87,50,2880,,0.567,,0.065,0.41,,,,6.6,36.8,,0.4,16.4,24.8,,,,,,,,Rod Strickland,rod-strickland-1
1995-96,Creighton,MVC,29,,752,,0.553,0.529,0.345,0.237,,,,,,,,11.4,,2.1,2.5,4.6,0.244,,,,Rodney Buford,rodney-buford-1
1996-97,Creighton,MVC,30,,947,,0.522,0.496,0.299,0.215,,,,,,,,10,,2.1,2,4.1,0.174,,,,Rodney Buford,rodney-buford-1
1997-98,Creighton,MVC,28,,,,0.518,0.483,0.363,0.309,,,,,,,,,,1.6,1.2,2.9,,,,,Rodney Buford,rodney-buford-1
1998-99,Creighton,MVC,31,,1011,,0.574,0.532,0.285,0.303,,,,,,,,12.5,,3.2,1.7,4.8,0.191,,,,Rodney Buford,rodney-buford-1
Career,Creighton,,118,,2710,,0.54,0.508,0.321,0.266,,,,,,,,11.3,,9,7.4,16.4,0.2,,,,Rodney Buford,rodney-buford-1
2002-03,Memphis,CUSA,30,26,759,,0.545,0.527,0.546,0.282,,,,,,,,12.3,,1.2,2.5,3.7,0.197,,,,Rodney Carney,rodney-carney-1
2003-04,Memphis,CUSA,28,18,753,,0.506,0.483,0.514,0.225,,,,11.6,8.9,,3.1,10.9,26.2,0.9,2.2,3,0.16,,,,Rodney Carney,rodney-carney-1
2004-05,Memphis,CUSA,38,28,1131,,0.518,0.48,0.451,0.272,,,,,,,,8.6,,1.8,2.4,4.2,0.147,,,,Rodney Carney,rodney-carney-1
2005-06,Memphis,CUSA,37,29,1027,,0.56,0.537,0.517,0.261,,,,,,,,8.7,,2.9,2.6,5.5,0.214,,,,Rodney Carney,rodney-carney-1
Career,Memphis,,133,101,3670,,0.533,0.506,0.499,0.26,,,,11.6,8.9,,3.1,9.7,26.2,6.8,9.6,16.4,0.179,,,,Rodney Carney,rodney-carney-1
2011-12,Mississippi State,SEC,32,29,1050,15.5,0.535,0.524,0.449,0.143,315,3.5,14.4,8.8,11.9,0.8,1.3,8.9,16.8,2.1,0.8,2.9,0.111,3.2,0.3,3.5,Rodney Hood,rodney-hood-1
2013-14,Duke,ACC,35,33,1150,20.1,0.59,0.55,0.41,0.328,507,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,3.6,1.2,4.9,0.17,6.6,0.6,7.2,Rodney Hood,rodney-hood-1
Career,Overall,,67,62,2200,17.9,0.569,0.539,0.426,0.252,821,3.2,13,8,12.6,1.1,1,9.7,20.5,5.8,2,7.8,0.142,5,0.4,5.4,Rodney Hood,rodney-hood-1
2009-10,Kansas State,Big 12,33,0,406,17.9,0.61,0.591,0.462,0.269,126,9.9,15,12.4,7.7,1.4,2.6,12.5,13.7,1.1,0.6,1.7,0.166,,,,Rodney McGruder,rodney-mcgruder-1
2010-11,Kansas State,Big 12,34,33,1040,17.3,0.575,0.556,0.571,0.233,353,7.4,15.4,11.3,10,1.3,0.8,12.7,17.4,2.6,1.6,4.2,0.162,5.1,2.3,7.4,Rodney McGruder,rodney-mcgruder-1
2011-12,Kansas State,Big 12,33,33,1085,21.9,0.564,0.525,0.32,0.298,469,8,11.6,9.7,9.7,2.1,0.9,9.7,23.4,3.7,1.7,5.4,0.199,6.3,1.8,8.1,Rodney McGruder,rodney-mcgruder-1
